County,BallotSentCount,BallotReturnedCount
ADAMS COUNTY,1485,1452
ASHLAND COUNTY,1076,1034
BARRON COUNTY,3543,3453
BAYFIELD COUNTY,1190,1152
BROWN COUNTY,42550,41885
BUFFALO COUNTY,635,599
BURNETT COUNTY,1011,981
CALUMET COUNTY,5475,5403
CHIPPEWA COUNTY,6757,6640
CLARK COUNTY,924,864
COLUMBIA COUNTY,6141,6058
CRAWFORD COUNTY,965,942
DANE COUNTY,128811,126385
DODGE COUNTY,6563,6461
DOOR COUNTY,4326,4189
DOUGLAS COUNTY,4952,4853
DUNN COUNTY,2975,2868
EAU CLAIRE COUNTY,13884,13712
FLORENCE COUNTY,320,304
FOND DU LAC COUNTY,10339,10097
FOREST COUNTY,538,522
GRANT COUNTY,3608,3518
GREEN COUNTY,3195,3144
GREEN LAKE COUNTY,1174,1138
IOWA COUNTY,2515,2483
IRON COUNTY,595,568
JACKSON COUNTY,786,757
JEFFERSON COUNTY,10178,10012
JUNEAU COUNTY,1553,1492
KENOSHA COUNTY,28357,28039
KEWAUNEE COUNTY,1460,1424
LA CROSSE COUNTY,22067,21886
LAFAYETTE COUNTY,637,621
LANGLADE COUNTY,1173,1114
LINCOLN COUNTY,1819,1743
MANITOWOC COUNTY,8417,8282
MARATHON COUNTY,17176,16798
MARINETTE COUNTY,3682,3617
MARQUETTE COUNTY,937,908
MENOMINEE COUNTY,161,158
MILWAUKEE COUNTY,132655,130380
MONROE COUNTY,3307,3214
OCONTO COUNTY,3101,3048
ONEIDA COUNTY,3647,3381
OUTAGAMIE COUNTY,35474,34996
OZAUKEE COUNTY,21298,20983
PEPIN COUNTY,355,288
PIERCE COUNTY,4078,3975
POLK COUNTY,2329,2281
PORTAGE COUNTY,12443,12337
PRICE COUNTY,910,881
RACINE COUNTY,33824,33360
RICHLAND COUNTY,812,781
ROCK COUNTY,19286,19009
RUSK COUNTY,605,524
SAUK COUNTY,6623,6520
SAWYER COUNTY,1756,1706
SHAWANO COUNTY,2901,2868
SHEBOYGAN COUNTY,13856,13641
ST. CROIX COUNTY,11438,11242
TAYLOR COUNTY,1095,1057
TREMPEALEAU COUNTY,1390,1316
VERNON COUNTY,1620,1517
VILAS COUNTY,3077,2975
WALWORTH COUNTY,13400,13091
WASHBURN COUNTY,1183,1154
WASHINGTON COUNTY,25713,25431
WAUKESHA COUNTY,91490,90305
WAUPACA COUNTY,4309,4160
WAUSHARA COUNTY,1318,1274
WINNEBAGO COUNTY,28270,27929
WOOD COUNTY,7730,7583